item_id,datetime,month,region,mgrs_tile,cloud_cover_pct,B02_blue,B03_green,B04_red,B08_nir,B11_swir16,B12_swir22,NDVI,NDBI,NDMI,BSI
S2B_35SPV_20250930_0_L2A,2025-09-30 09:00:27.237000+00:00,2025-09,Rhodes,MGRS-35SPV,0.27,0.038442,0.018203,0.011336,0.009409,0.007952,0.007716,-0.0929,-0.0839,0.0839,-0.4254
S2C_35SPV_20250826_0_L2A,2025-08-26 09:00:46.190000+00:00,2025-08,Rhodes,MGRS-35SPV,0.0,0.040844,0.021919,0.014253,0.011635,0.008944,0.0082,-0.1011,-0.1307,0.1307,-0.3869
S2C_35SPV_20250727_0_L2A,2025-07-27 09:00:49.051000+00:00,2025-07,Rhodes,MGRS-35SPV,0.0,0.056823,0.038502,0.031517,0.028927,0.023719,0.018468,-0.0428,-0.0989,0.0989,-0.2164
S2C_35SNV_20250627_0_L2A,2025-06-27 09:00:50.743000+00:00,2025-06,Rhodes,MGRS-35SNV,0.01,0.066825,0.065071,0.066966,0.107617,0.113697,0.084807,0.2328,0.0275,-0.0275,0.0175
S2B_35SPV_20250523_0_L2A,2025-05-23 09:00:28.028000+00:00,2025-05,Rhodes,MGRS-35SPV,0.0,0.053796,0.035406,0.029692,0.028785,0.024695,0.02075,-0.0155,-0.0765,0.0765,-0.2058
S2C_35SPV_20250428_0_L2A,2025-04-28 09:00:48.911000+00:00,2025-04,Rhodes,MGRS-35SPV,0.45,0.032347,0.013375,0.006325,0.004644,0.004076,0.00332,-0.1533,-0.0651,0.0651,-0.561
S2B_35SPV_20240925_0_L2A,2024-09-25 09:00:25.735000+00:00,2024-09,Rhodes,MGRS-35SPV,0.0,0.030514,0.011221,0.004586,0.002265,0.001014,0.001033,-0.3387,-0.3816,0.3816,-0.7082
S2A_35SPV_20240821_0_L2A,2024-08-21 09:00:24.936000+00:00,2024-08,Rhodes,MGRS-35SPV,0.0,0.046047,0.028867,0.022894,0.020247,0.019723,0.018597,-0.0614,-0.0131,0.0131,-0.2174
S2A_35SPV_20240722_0_L2A,2024-07-22 09:00:28.572000+00:00,2024-07,Rhodes,MGRS-35SPV,0.0,0.053025,0.034759,0.027892,0.024816,0.021503,0.019358,-0.0583,-0.0715,0.0715,-0.2236
S2B_35SPA_20240627_0_L2A,2024-06-27 09:00:15.852000+00:00,2024-06,Rhodes,MGRS-35SPA,0.0,0.046105,0.039442,0.042802,0.069944,0.071197,0.055824,0.2407,0.0089,-0.0089,-0.0089
S2B_35SPV_20240528_0_L2A,2024-05-28 09:00:26.652000+00:00,2024-05,Rhodes,MGRS-35SPV,0.0,0.055127,0.037163,0.031911,0.031309,0.030494,0.029786,-0.0095,-0.0132,0.0132,-0.1615
S2B_35SPV_20240428_0_L2A,2024-04-28 09:00:26.143000+00:00,2024-04,Rhodes,MGRS-35SPV,0.0,0.048527,0.0284,0.021571,0.020162,0.016392,0.015341,-0.0338,-0.1031,0.1031,-0.2881
S2B_35SPA_20230921_0_L2A,2023-09-21 09:00:15.789000+00:00,2023-09,Rhodes,MGRS-35SPA,0.0,0.031131,0.019943,0.020315,0.042128,0.043861,0.033207,0.3493,0.0202,-0.0202,-0.0661
S2B_35SNA_20230825_1_L2A,2023-08-25 09:10:23.055000+00:00,2023-08,Rhodes,MGRS-35SNA,0.0,0.068654,0.068107,0.072098,0.101523,0.122517,0.096988,0.1695,0.0937,-0.0937,0.067
S2A_35SPV_20230728_0_L2A,2023-07-28 09:00:32.022000+00:00,2023-07,Rhodes,MGRS-35SPV,0.0,0.052216,0.035561,0.030158,0.028892,0.026886,0.025964,-0.0214,-0.036,0.036,-0.1742
S2B_35SPA_20230623_0_L2A,2023-06-23 09:00:21.062000+00:00,2023-06,Rhodes,MGRS-35SPA,0.0,0.054674,0.043256,0.038567,0.063113,0.059019,0.046936,0.2414,-0.0335,0.0335,-0.0938
S2B_35SNA_20230517_0_L2A,2023-05-17 09:10:15.810000+00:00,2023-05,Rhodes,MGRS-35SNA,7.47,0.102175,0.100954,0.102006,0.137879,0.133426,0.111902,0.1495,-0.0164,0.0164,-0.0097
S2B_35SPV_20230424_0_L2A,2023-04-24 09:00:28.839000+00:00,2023-04,Rhodes,MGRS-35SPV,0.0,0.046618,0.025794,0.017888,0.016082,0.012768,0.012781,-0.0532,-0.1149,0.1149,-0.3432
S2A_35SPV_20220921_0_L2A,2022-09-21 09:00:34.235000+00:00,2022-09,Rhodes,MGRS-35SPV,0.0,0.039182,0.0234,0.017376,0.015519,0.014232,0.015465,-0.0565,-0.0433,0.0433,-0.2676
S2B_35SNA_20220830_0_L2A,2022-08-30 09:10:12.012000+00:00,2022-08,Rhodes,MGRS-35SNA,0.25,0.043383,0.043024,0.04581,0.082182,0.087278,0.067072,0.2842,0.0301,-0.0301,0.0291
S2B_35SPV_20220728_0_L2A,2022-07-28 09:00:31.819000+00:00,2022-07,Rhodes,MGRS-35SPV,0.0,0.04669,0.025005,0.016587,0.013276,0.00966,0.009083,-0.1109,-0.1576,0.1576,-0.3911
S2A_35SNV_20220623_0_L2A,2022-06-23 09:00:42.269000+00:00,2022-06,Rhodes,MGRS-35SNV,0.0,0.057619,0.059846,0.06067,0.103389,0.105524,0.075963,0.2604,0.0102,-0.0102,0.0158
S2B_35SPV_20220529_0_L2A,2022-05-29 09:00:26.860000+00:00,2022-05,Rhodes,MGRS-35SPV,0.48,0.059765,0.044283,0.039465,0.038151,0.033064,0.030823,-0.0169,-0.0714,0.0714,-0.1489
S2A_35SPV_20220424_0_L2A,2022-04-24 09:00:31.746000+00:00,2022-04,Rhodes,MGRS-35SPV,0.0,0.032525,0.018772,0.01321,0.012484,0.010911,0.011644,-0.0283,-0.0672,0.0672,-0.3022
S2A_35SPV_20210926_0_L2A,2021-09-26 09:00:30.555000+00:00,2021-09,Rhodes,MGRS-35SPV,0.0,0.020371,0.005168,0.000212,0.000101,0.000309,0.000768,-0.3566,0.5083,-0.5083,-0.9503
S2A_35SPV_20210827_0_L2A,2021-08-27 09:00:28.617000+00:00,2021-08,Rhodes,MGRS-35SPV,0.0,0.042536,0.025953,0.018244,0.014436,0.010354,0.008888,-0.1165,-0.1646,0.1646,-0.3316
S2A_35SPV_20210728_0_L2A,2021-07-28 09:00:30.188000+00:00,2021-07,Rhodes,MGRS-35SPV,0.0,0.048818,0.033704,0.028585,0.026951,0.026263,0.026473,-0.0294,-0.0129,0.0129,-0.1602
S2A_35SPV_20210628_1_L2A,2021-06-28 09:00:28.489000+00:00,2021-06,Rhodes,MGRS-35SPV,0.01,0.057672,0.040738,0.034959,0.032888,0.029483,0.027007,-0.0305,-0.0546,0.0546,-0.1685
S2A_35SNA_20210529_1_L2A,2021-05-29 09:00:16.275000+00:00,2021-05,Rhodes,MGRS-35SNA,0.02,0.050396,0.061702,0.067438,0.142801,0.13221,0.093345,0.3585,-0.0385,0.0385,0.0164
S2A_35SNV_20210422_0_L2A,2021-04-22 09:10:21.476000+00:00,2021-04,Rhodes,MGRS-35SNV,1.28,0.058041,0.06827,0.068627,0.158609,0.126153,0.090734,0.396,-0.114,0.114,-0.0532
S2B_35SPV_20200926_0_L2A,2020-09-26 09:00:29.556000+00:00,2020-09,Rhodes,MGRS-35SPV,0.0,0.037781,0.023369,0.017912,0.015376,0.013673,0.012283,-0.0762,-0.0586,0.0586,-0.2546
