time,latitude,longitude,soil_water_vol_m3m3,net_solar_rad_Jm2,temp_2m_C,skin_temp_C,precip_mm_day,month
2015-04-01 00:00:00+00:00,38.1,23.5,0.3089,1.8589864e+07,13.52,13.68,0.409,2015-04
2015-04-01 00:00:00+00:00,37.8,24.0,0.2327,1.848298e+07,14.5,14.99,0.26,2015-04
2015-04-01 00:00:00+00:00,37.9,23.9,0.2603,1.7831202e+07,14.26,14.68,0.342,2015-04
2015-04-01 00:00:00+00:00,37.9,23.8,0.2412,1.847965e+07,14.57,14.86,0.317,2015-04
2015-04-01 00:00:00+00:00,37.9,23.5,0.1843,2.111755e+07,15.34,16.6,0.354,2015-04
2015-04-01 00:00:00+00:00,38.0,23.9,0.2629,1.8178144e+07,14.18,14.24,0.45,2015-04
2015-04-01 00:00:00+00:00,38.0,23.8,0.2587,1.7833678e+07,13.87,14.31,0.414,2015-04
2015-04-01 00:00:00+00:00,38.0,23.7,0.2103,1.7791006e+07,14.32,15.61,0.381,2015-04
2015-04-01 00:00:00+00:00,38.0,23.6,0.2854,1.9497096e+07,15.03,15.98,0.368,2015-04
2015-04-01 00:00:00+00:00,38.0,23.5,0.2095,1.9693708e+07,15.12,16.27,0.366,2015-04
2015-04-01 00:00:00+00:00,38.1,24.0,0.3187,1.9900062e+07,14.42,14.19,0.558,2015-04
2015-04-01 00:00:00+00:00,38.1,23.9,0.3251,1.8667528e+07,13.32,13.63,0.545,2015-04
2015-04-01 00:00:00+00:00,38.1,23.8,0.3089,1.820006e+07,12.48,13.01,0.503,2015-04
2015-04-01 00:00:00+00:00,38.1,23.7,0.2952,1.80696e+07,12.55,12.91,0.462,2015-04
2015-04-01 00:00:00+00:00,38.1,23.6,0.2744,1.8060746e+07,13.32,13.54,0.431,2015-04
2015-04-01 00:00:00+00:00,38.0,24.0,0.257,1.8494774e+07,14.51,14.45,0.472,2015-04
2015-05-01 00:00:00+00:00,37.9,23.8,0.1366,2.1186986e+07,20.49,21.76,0.689,2015-05
2015-05-01 00:00:00+00:00,37.9,23.9,0.1668,2.0525776e+07,20.3,21.44,0.833,2015-05
2015-05-01 00:00:00+00:00,37.8,24.0,0.1481,2.1238016e+07,20.17,21.31,0.641,2015-05
2015-05-01 00:00:00+00:00,37.9,23.5,0.0876,2.408833e+07,21.2,24.1,0.512,2015-05
2015-05-01 00:00:00+00:00,38.1,24.0,0.2293,2.3040684e+07,21.2,21.37,1.518,2015-05
2015-05-01 00:00:00+00:00,38.0,23.9,0.1517,2.0928524e+07,20.75,21.74,1.126,2015-05
2015-05-01 00:00:00+00:00,38.0,23.8,0.1417,2.0400434e+07,20.32,21.98,0.931,2015-05
2015-05-01 00:00:00+00:00,38.0,23.7,0.0621,2.0157786e+07,20.73,24.59,0.744,2015-05
2015-05-01 00:00:00+00:00,38.0,23.6,0.1236,2.2308494e+07,21.29,23.52,0.644,2015-05
2015-05-01 00:00:00+00:00,38.0,23.5,0.0849,2.251046e+07,21.39,24.48,0.588,2015-05
2015-05-01 00:00:00+00:00,38.1,23.9,0.2288,2.1518452e+07,20.07,20.91,1.309,2015-05
2015-05-01 00:00:00+00:00,38.1,23.8,0.1994,2.0914144e+07,19.23,20.39,1.101,2015-05
2015-05-01 00:00:00+00:00,38.1,23.7,0.1862,2.0677318e+07,19.24,20.3,0.901,2015-05
2015-05-01 00:00:00+00:00,38.1,23.6,0.1597,2.0653274e+07,19.98,21.24,0.763,2015-05
2015-05-01 00:00:00+00:00,38.1,23.5,0.1974,2.122537e+07,20.02,20.81,0.684,2015-05
