item_id,datetime,month,mgrs_tile,cloud_cover_pct,B02_blue,B03_green,B04_red,B08_nir,B11_swir16,B12_swir22,NDVI,NDBI,NDMI,BSI
S2A_35SKB_20250923_0_L2A,2025-09-23 09:20:20.214000+00:00,2025-09,MGRS-35SKB,0.25,0.068619,0.085551,0.105562,0.168506,0.187179,0.135812,0.2297,0.0525,-0.0525,0.105
S2B_34SGH_20250830_0_L2A,2025-08-30 09:29:47.031000+00:00,2025-08,MGRS-34SGH,0.0,0.089665,0.129164,0.18077,0.259874,0.352634,0.274522,0.1795,0.1514,-0.1514,0.2082
S2A_34SGH_20250725_0_L2A,2025-07-25 09:20:10.315000+00:00,2025-07,MGRS-34SGH,0.01,0.093481,0.127275,0.157676,0.242578,0.275505,0.207612,0.2121,0.0636,-0.0636,0.1263
S2A_34SGG_20250625_0_L2A,2025-06-25 09:20:21.283000+00:00,2025-06,MGRS-34SGG,0.01,0.082941,0.095541,0.10966,0.167744,0.185987,0.141614,0.2094,0.0516,-0.0516,0.0823
S2A_34SGG_20250526_0_L2A,2025-05-26 09:20:22.754000+00:00,2025-05,MGRS-34SGG,0.02,0.075576,0.087935,0.099376,0.16213,0.168914,0.128615,0.24,0.0205,-0.0205,0.0604
S2A_34SGG_20250406_0_L2A,2025-04-06 09:20:18.382000+00:00,2025-04,MGRS-34SGG,0.72,0.03892,0.053843,0.058995,0.140667,0.125852,0.091206,0.4091,-0.0556,0.0556,0.0144
S2A_35SKB_20240926_0_L2A,2024-09-26 09:20:06.662000+00:00,2024-09,MGRS-35SKB,0.0,0.068411,0.081956,0.099028,0.156876,0.184033,0.136194,0.2261,0.0797,-0.0797,0.1137
S2B_34SGG_20240822_0_L2A,2024-08-22 09:20:05.145000+00:00,2024-08,MGRS-34SGG,0.36,0.089008,0.09728,0.112714,0.158761,0.184499,0.144343,0.1696,0.075,-0.075,0.0907
S2A_34SGG_20240728_0_L2A,2024-07-28 09:20:08.457000+00:00,2024-07,MGRS-34SGG,0.02,0.078455,0.091121,0.107306,0.157691,0.183924,0.138766,0.1901,0.0768,-0.0768,0.1044
S2B_34SGG_20240623_0_L2A,2024-06-23 09:20:08.667000+00:00,2024-06,MGRS-34SGG,0.01,0.089179,0.099498,0.11621,0.171829,0.190822,0.151998,0.1931,0.0524,-0.0524,0.081
